Root,Sample,Experiment,Filename,PULPROG,NS (Num. Scans),TD0 (Loop count),Total Scans,RG,TD (Size of FID),Time (seconds)
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3_PRE,11,acqus,<noesypr1dwv2.mjh>,16,1,16,1,8192,204
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3_PRE,10,acqus,<noesypr1dwv2.mjh>,8,1,8,1,8192,103
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3_PRE,15,acqus,<noesypr1dwv2.mjh>,256,1,256,1,8192,3243
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3_PRE,12,acqus,<noesypr1dwv2.mjh>,32,1,32,1,8192,407
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3_PRE,13,acqus,<noesypr1dwv2.mjh>,64,1,64,1,8192,812
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3_PRE,14,acqus,<noesypr1dwv2.mjh>,128,1,128,1,8192,1622
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,18,acqus,<zg30>,256,1,256,1,8192,922
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,11,acqus,<zg30>,2,1,2,1,8192,16
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,16,acqus,<zg30>,64,1,64,1,8192,237
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,17,acqus,<zg30>,128,1,128,1,8192,466
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,10,acqus,<zg30>,1,1,1,1,8192,12
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,15,acqus,<zg30>,32,1,32,1,8192,123
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,12,acqus,<zg30>,4,1,4,1,8192,23
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,13,acqus,<zg30>,8,1,8,1,8192,37
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3,14,acqus,<zg30>,16,1,16,1,8192,66
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,18,acqus,<zg30>,256,1,256,1,8192,922
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,11,acqus,<zg30>,2,1,2,1,8192,17
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,16,acqus,<zg30>,64,1,64,1,8192,238
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,17,acqus,<zg30>,128,1,128,1,8192,465
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,10,acqus,<zg30>,1,1,1,1,8192,12
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,15,acqus,<zg30>,32,1,32,1,8192,123
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,12,acqus,<zg30>,4,1,4,1,8192,23
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,13,acqus,<zg30>,8,1,8,1,8192,38
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3,14,acqus,<zg30>,16,1,16,1,8192,66
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3_PRE,11,acqus,<noesypr1dwv2.mjh>,16,1,16,1,8192,205
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3_PRE,10,acqus,<noesypr1dwv2.mjh>,8,1,8,1,8192,103
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3_PRE,15,acqus,<noesypr1dwv2.mjh>,256,1,256,1,8192,3242
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3_PRE,12,acqus,<noesypr1dwv2.mjh>,32,1,32,1,8192,407
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3_PRE,13,acqus,<noesypr1dwv2.mjh>,64,1,64,1,8192,813
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D22_RERUN_3_PRE,14,acqus,<noesypr1dwv2.mjh>,128,1,128,1,8192,1623
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,18,acqus,<zg30>,256,1,256,1,8192,923
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,11,acqus,<zg30>,2,1,2,1,8192,16
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,16,acqus,<zg30>,64,1,64,1,8192,238
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,17,acqus,<zg30>,128,1,128,1,8192,466
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,10,acqus,<zg30>,1,1,1,1,8192,12
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,15,acqus,<zg30>,32,1,32,1,8192,123
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,12,acqus,<zg30>,4,1,4,1,8192,23
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,13,acqus,<zg30>,8,1,8,1,8192,37
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D24_RERUN_3,14,acqus,<zg30>,16,1,16,1,8192,66
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3_PRE,11,acqus,<noesypr1dwv2.mjh>,16,1,16,1,8192,205
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3_PRE,10,acqus,<noesypr1dwv2.mjh>,8,1,8,1,8192,103
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3_PRE,15,acqus,<noesypr1dwv2.mjh>,256,1,256,1,8192,3243
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3_PRE,12,acqus,<noesypr1dwv2.mjh>,32,1,32,1,8192,406
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3_PRE,13,acqus,<noesypr1dwv2.mjh>,64,1,64,1,8192,812
/Users/alexhill/Desktop/Metabolomics/Rerun_Data/20240119_RERUN_3,20240119_D23_RERUN_3_PRE,14,acqus,<noesypr1dwv2.mjh>,128,1,128,1,8192,1622
